step,equity,inventory,bid,ask,bid_missing,ask_missing,t,mid_mark,microprice,spread,bid_sz,ask_sz,imbalance,cash,inv_value,realized_pnl,unreal_pnl,fees_paid,mm_fills,mm_cancels_sub,mm_cancels_ok,mm_bid_px,mm_ask_px,mm_bid_qty,mm_ask_qty,mm_at_best_bid,mm_at_best_ask,tob_share_bid,tob_share_ask,last_trade_px,last_trade_sign
0,-0.0196000000,-2,99.9900000000,100.0100000000,0,0,0.100000,100.0100000000,100.0000000000,0.0200000000,6,6,0.000000,200.0004000000,-200.0200000000,0.0000000000,-0.0200000000,-0.0004000000,2,0,0,99.9800000000,100.0000000000,1,0,0,0,nan,nan,100.0100000000,1
1,0.4216000000,-6,100.0000000000,100.0300000000,0,0,0.200000,99.9400000000,100.0150000000,0.0300000000,4,4,0.000000,600.0616000000,-599.6400000000,0.0066666667,0.4133333333,-0.0016000000,8,13,1,100.0000000000,100.0400000000,1,1,1,0,0.2500000000,nan,100.0100000000,-1
2,0.1136000000,0,99.9900000000,100.0000000000,0,0,0.300000,99.9900000000,99.9957142857,0.0100000000,4,3,0.142857,0.1136000000,0.0000000000,0.1100000000,0.0000000000,-0.0036000000,18,31,3,99.9300000000,100.0100000000,1,1,0,0,nan,nan,100.0000000000,1
3,0.1146000000,1,99.9900000000,100.0000000000,0,0,0.400000,99.9700000000,99.9906666667,0.0100000000,1,14,-0.866667,-99.8554000000,99.9700000000,0.1300000000,-0.0200000000,-0.0046000000,23,50,5,99.9400000000,100.0000000000,1,1,0,1,nan,0.0714285714,99.9900000000,-1
4,0.0556000000,4,99.9800000000,99.9900000000,0,0,0.500000,99.9600000000,99.9838888889,0.0100000000,7,11,-0.222222,-399.7844000000,399.8400000000,0.1450000000,-0.0950000000,-0.0056000000,28,65,7,99.9500000000,99.9900000000,1,1,0,1,nan,0.0909090909,99.9900000000,1
5,0.0270000000,-3,99.9800000000,99.9900000000,0,0,0.600000,100.0400000000,99.9873333333,0.0100000000,11,4,0.466667,300.1470000000,-300.1200000000,0.1700000000,-0.1500000000,-0.0070000000,35,73,9,99.9400000000,nan,1,0,0,0,nan,nan,99.9900000000,1
6,-0.0320000000,-6,99.9800000000,100.0000000000,0,0,0.700000,100.0300000000,99.9923076923,0.0200000000,16,10,0.230769,600.1480000000,-600.1800000000,0.1800000000,-0.2200000000,-0.0080000000,40,81,9,99.9800000000,100.0400000000,1,1,1,0,0.0625000000,nan,100.0000000000,1
7,0.3802000000,-3,99.9900000000,100.0000000000,0,0,0.800000,99.9500000000,99.9950000000,0.0100000000,6,6,0.000000,300.2302000000,-299.8500000000,0.2302040816,0.1397959184,-0.0102000000,51,105,11,99.9900000000,100.0600000000,1,1,1,0,0.1666666667,nan,99.9900000000,-1
8,0.2920000000,4,99.9800000000,100.0000000000,0,0,0.900000,99.9900000000,99.9862500000,0.0200000000,10,22,-0.375000,-399.6680000000,399.9600000000,0.2560000000,0.0240000000,-0.0120000000,60,135,13,99.9200000000,100.0000000000,1,1,0,1,nan,0.0454545455,99.9900000000,1
9,-0.2550000000,9,99.9800000000,100.0000000000,0,0,1.000000,99.9200000000,99.9827272727,0.0200000000,3,19,-0.727273,-899.5350000000,899.2800000000,0.3120000000,-0.5820000000,-0.0150000000,75,149,15,99.9800000000,100.0100000000,1,1,1,0,0.3333333333,nan,99.9900000000,-1
10,0.5168000000,8,99.9900000000,100.0000000000,0,0,1.100000,100.0000000000,99.9915789474,0.0100000000,3,16,-0.684211,-799.4832000000,800.0000000000,0.3728666667,0.1271333333,-0.0168000000,84,166,17,99.9900000000,100.0200000000,1,1,1,0,0.3333333333,nan,99.9900000000,-1
11,-0.1518000000,9,99.9700000000,99.9900000000,0,0,1.200000,99.9200000000,99.9820000000,0.0200000000,3,2,0.200000,-899.4318000000,899.2800000000,0.4072927273,-0.5772927273,-0.0182000000,91,190,18,99.9300000000,99.9900000000,1,1,0,1,nan,0.5000000000,99.9900000000,1
12,-1.8388000000,14,99.9500000000,99.9600000000,0,0,1.300000,99.8000000000,99.9580000000,0.0100000000,12,3,0.600000,-1399.0388000000,1397.2000000000,0.4730896154,-2.3330896154,-0.0212000000,106,212,20,99.7900000000,99.9600000000,1,1,0,1,nan,0.3333333333,99.9500000000,-1
13,-2.0370000000,23,99.9500000000,99.9600000000,0,0,1.400000,99.8500000000,99.9515000000,0.0100000000,3,17,-0.700000,-2298.5870000000,2296.5500000000,0.4730896154,-2.5330896154,-0.0230000000,115,220,20,99.7900000000,99.9600000000,1,1,0,1,nan,0.0588235294,99.9500000000,-1
14,-3.6646000000,31,99.9400000000,99.9600000000,0,0,1.500000,99.8200000000,99.9423529412,0.0200000000,2,15,-0.764706,-3098.0846000000,3094.4200000000,0.4779316298,-4.1679316298,-0.0254000000,127,226,21,99.8000000000,99.9600000000,1,1,0,1,nan,0.0666666667,99.9400000000,-1
15,-5.8816000000,38,99.9300000000,99.9500000000,0,0,1.600000,99.7800000000,99.9328571429,0.0200000000,3,18,-0.714286,-3797.5216000000,3791.6400000000,0.4682324332,-6.3782324332,-0.0284000000,142,254,23,99.7200000000,99.9500000000,1,1,0,1,nan,0.0555555556,99.9300000000,-1
16,-3.4800000000,42,99.9200000000,99.9300000000,0,0,1.700000,99.8500000000,99.9252173913,0.0100000000,12,11,0.043478,-4197.1800000000,4193.7000000000,0.4568880316,-3.9668880316,-0.0300000000,150,280,25,99.7300000000,99.9300000000,1,1,0,1,nan,0.0909090909,99.9200000000,-1
17,-7.5476000000,54,99.9100000000,99.9300000000,0,0,1.800000,99.7900000000,99.9190000000,0.0200000000,9,11,-0.100000,-5396.2076000000,5388.6600000000,0.4568880316,-8.0368880316,-0.0324000000,162,287,26,99.6500000000,99.9300000000,1,1,0,1,nan,0.0909090909,99.9100000000,-1
18,-6.1850000000,65,99.8900000000,99.9000000000,0,0,1.900000,99.8300000000,99.8975000000,0.0100000000,6,2,0.500000,-6495.1350000000,6488.9500000000,0.4535512927,-6.6735512927,-0.0350000000,175,299,28,99.6800000000,99.9000000000,1,1,0,1,nan,0.5000000000,99.8900000000,-1
19,-9.0136000000,68,99.8600000000,99.9000000000,0,0,2.000000,99.7900000000,99.8644444444,0.0400000000,1,8,-0.777778,-6794.7336000000,6785.7200000000,0.3932831931,-9.4432831931,-0.0364000000,182,311,28,99.6700000000,99.9000000000,1,1,0,1,nan,0.1250000000,99.9000000000,1
20,-7.3320000000,62,99.8400000000,99.8600000000,0,0,2.100000,99.8100000000,99.8500000000,0.0200000000,2,2,0.000000,-6195.5520000000,6188.2200000000,-0.0888194886,-7.2811805114,-0.0380000000,190,334,30,99.6300000000,99.8600000000,1,1,0,1,nan,0.5000000000,99.8400000000,-1
21,-8.1010000000,67,99.8300000000,99.8500000000,0,0,2.200000,99.8000000000,99.8400000000,0.0200000000,10,10,0.000000,-6694.7010000000,6686.6000000000,-0.0888194886,-8.0511805114,-0.0390000000,195,342,32,99.6900000000,99.8500000000,1,1,0,1,nan,0.1000000000,99.8300000000,-1
22,-13.2796000000,72,99.8200000000,99.8400000000,0,0,2.300000,99.7300000000,99.8285714286,0.0200000000,9,12,-0.142857,-7193.8396000000,7180.5600000000,-0.1615753860,-13.1584246140,-0.0404000000,202,362,34,99.6100000000,99.8400000000,1,1,0,1,nan,0.0833333333,99.8400000000,1
23,-8.1890000000,71,99.8200000000,99.8300000000,0,0,2.400000,99.8000000000,99.8220000000,0.0100000000,2,8,-0.600000,-7093.9890000000,7085.8000000000,-0.3145459234,-7.9154540766,-0.0410000000,205,373,36,99.6000000000,99.8300000000,1,1,0,1,nan,0.1250000000,99.8200000000,-1
24,-2.1878000000,65,99.8100000000,99.8200000000,0,0,2.500000,99.8900000000,99.8143750000,0.0100000000,7,9,-0.125000,-6495.0378000000,6492.8500000000,-0.8334575355,-1.3965424645,-0.0422000000,211,403,38,99.6800000000,99.8200000000,1,1,0,1,nan,0.1111111111,99.8200000000,1
25,0.5448000000,52,99.8100000000,99.8200000000,0,0,2.600000,99.9600000000,99.8185714286,0.0100000000,6,1,0.714286,-5197.3752000000,5197.9200000000,-2.0227660284,2.5227660284,-0.0448000000,224,413,40,99.8000000000,99.8600000000,1,1,0,0,nan,nan,99.8200000000,1
26,-6.6134000000,43,99.8100000000,99.8300000000,0,0,2.700000,99.8200000000,99.8284615385,0.0200000000,12,1,0.846154,-4298.8734000000,4292.2600000000,-2.7261334465,-3.9338665535,-0.0466000000,233,425,40,99.8100000000,99.8800000000,1,1,1,0,0.0833333333,nan,99.8100000000,-1
27,-7.4826000000,45,99.8100000000,99.8200000000,0,0,2.800000,99.8000000000,99.8133333333,0.0100000000,5,10,-0.333333,-4498.4826000000,4491.0000000000,-2.8153122318,-4.7146877682,-0.0474000000,237,435,42,99.7200000000,99.8200000000,1,1,0,1,nan,0.1000000000,99.8100000000,-1
28,-2.9712000000,40,99.8100000000,99.8200000000,0,0,2.900000,99.9100000000,99.8155555556,0.0100000000,5,4,0.111111,-3999.3712000000,3996.4000000000,-3.3173253486,0.2973253486,-0.0488000000,244,448,43,99.7400000000,99.8200000000,1,1,0,1,nan,0.2500000000,99.8200000000,1
29,-0.3696000000,34,99.8100000000,99.8400000000,0,0,3.000000,100.0000000000,99.8300000000,0.0300000000,8,4,0.333333,-3400.3696000000,3400.0000000000,-3.8152934126,3.3952934126,-0.0504000000,252,462,44,99.8200000000,99.8500000000,0,1,0,0,nan,nan,99.8200000000,-1
30,-1.4978000000,25,99.8400000000,99.8500000000,0,0,3.100000,100.0100000000,99.8437500000,0.0100000000,3,5,-0.250000,-2501.7478000000,2500.2500000000,-4.2965392740,2.7465392740,-0.0522000000,261,465,45,99.8400000000,99.9800000000,1,1,1,0,0.3333333333,nan,99.8500000000,1
