t,px,qty,sign,mm_involved,mid_mark,spread,maker_age_s,maker_queue_ahead_qty_entry
0.038629,100.0000000000,1,1,1,99.9801002296,0.0100000000,0.022045,0
0.090774,100.0000000000,1,1,1,100.0375804349,0.0100000000,0.072310,1
0.098591,100.0100000000,1,1,0,100.0103684622,0.0200000000,0.098591,0
0.100271,100.0100000000,1,1,1,100.0041638896,0.0200000000,0.090271,1
0.100787,100.0100000000,1,1,1,100.0030137558,0.0200000000,0.086049,2
0.108698,100.0100000000,1,1,1,100.0101777036,0.0100000000,0.093736,3
0.108877,100.0100000000,1,1,1,100.0100858231,0.0100000000,0.093589,4
0.111053,100.0100000000,1,1,0,100.0075536804,0.0100000000,0.046961,5
0.117449,100.0000000000,1,-1,0,100.0315799128,0.0100000000,0.015138,0
0.117975,100.0100000000,1,1,0,100.0287073230,0.0200000000,0.038165,6
0.135753,100.0000000000,1,-1,1,100.0347499521,0.0200000000,0.004979,0
0.149995,100.0200000000,1,1,0,100.0638711927,0.0100000000,0.149995,0
0.179343,100.0200000000,1,1,0,99.9830996644,0.0100000000,0.146667,1
0.179925,100.0200000000,1,1,1,99.9876833613,0.0100000000,0.069655,2
0.188640,100.0100000000,1,-1,0,99.9524993277,0.0200000000,0.051094,0
0.190320,100.0100000000,1,-1,0,99.9523931288,0.0200000000,0.041761,1
0.205944,100.0000000000,1,-1,1,99.9293870394,0.0100000000,0.072996,1
0.207491,100.0000000000,1,-1,1,99.9232426848,0.0100000000,0.073581,2
0.212472,100.0100000000,1,1,0,99.9202793071,0.0100000000,0.008468,0
0.215253,100.0000000000,1,-1,1,99.9350014100,0.0300000000,0.076988,2
0.223496,99.9900000000,1,-1,0,99.9274723902,0.0200000000,0.223496,0
0.224810,99.9900000000,1,-1,0,99.9455375311,0.0200000000,0.219848,1
0.235245,99.9900000000,1,-1,1,99.9494027693,0.0100000000,0.225245,2
0.238973,99.9900000000,1,-1,1,99.9243139204,0.0100000000,0.224235,3
0.242483,99.9900000000,1,-1,1,99.9284416943,0.0100000000,0.227521,4
0.252692,99.9900000000,1,-1,1,99.9052381190,0.0100000000,0.237405,5
0.262386,100.0000000000,1,1,1,99.9509406566,0.0100000000,0.032523,0
0.264715,99.9900000000,1,-1,1,99.9512312940,0.0100000000,0.154444,6
0.292362,100.0000000000,1,1,1,99.9687143158,0.0100000000,0.058866,1
0.307784,99.9900000000,1,-1,1,99.9800079428,0.0100000000,0.181476,7
0.313301,99.9900000000,1,-1,1,100.0080867213,0.0100000000,0.186349,8
0.316505,100.0000000000,1,1,1,99.9973540666,0.0100000000,0.081696,2
0.338015,99.9900000000,1,-1,1,99.9677061988,0.0100000000,0.209087,9
0.339013,99.9900000000,1,-1,0,99.9735370760,0.0100000000,0.158771,10
0.360889,100.0000000000,1,1,1,99.9596157796,0.0100000000,0.124600,3
0.374192,99.9900000000,1,-1,0,99.9568130358,0.0100000000,0.069238,4
0.377391,99.9900000000,1,-1,0,99.9545613284,0.0100000000,0.055006,3
0.382188,99.9900000000,1,-1,0,99.9457577147,0.0100000000,0.059226,4
0.402161,99.9900000000,1,-1,1,99.9742659056,0.0100000000,0.048860,3
0.404413,99.9800000000,1,-1,1,99.9731646148,0.0200000000,0.387829,1
0.429818,99.9800000000,1,-1,0,99.9374813862,0.0200000000,0.359714,3
0.434590,99.9800000000,1,-1,1,99.9431243013,0.0200000000,0.085188,3
0.435969,100.0000000000,1,1,1,99.9442913183,0.0200000000,0.198519,4
0.490666,99.9800000000,1,-1,1,99.9375133107,0.0100000000,0.138994,4
0.492711,99.9900000000,1,1,0,99.9316901562,0.0100000000,0.026731,0
0.566603,99.9900000000,1,1,1,100.0017265184,0.0100000000,0.098737,1
0.575693,99.9900000000,1,1,1,100.0330103232,0.0100000000,0.105875,2
0.578373,99.9900000000,1,1,1,100.0325756557,0.0100000000,0.107086,3
0.578613,99.9900000000,1,1,1,100.0395236471,0.0100000000,0.104826,4
0.586625,99.9900000000,1,1,1,100.0538095467,0.0100000000,0.112035,5
0.587963,99.9900000000,1,1,1,100.0548664475,0.0100000000,0.111994,6
0.591293,99.9900000000,1,1,1,100.0548893367,0.0100000000,0.115313,7
0.613052,99.9900000000,1,1,1,100.0203232950,0.0100000000,0.133978,8
0.616935,99.9900000000,1,1,0,100.0366892546,0.0100000000,0.137565,9
0.657061,99.9900000000,1,1,1,99.9883180469,0.0100000000,0.176514,10
0.677417,99.9800000000,1,-1,1,100.0293232494,0.0100000000,0.324400,5
0.678450,99.9900000000,1,1,0,100.0261947158,0.0100000000,0.171253,11
0.682784,100.0000000000,1,1,1,100.0484272161,0.0200000000,0.335000,3
0.686131,100.0000000000,1,1,1,100.0641120908,0.0200000000,0.338115,4
0.701344,99.9800000000,1,-1,1,100.0337781730,0.0200000000,0.344839,6
0.723868,100.0000000000,1,1,1,100.0313657828,0.0100000000,0.375479,5
0.732043,100.0000000000,1,1,1,100.0522425640,0.0100000000,0.383484,6
0.734148,99.9900000000,1,-1,1,100.0408061338,0.0100000000,0.015698,0
0.740768,99.9900000000,1,-1,1,100.0438079843,0.0100000000,0.019213,1
0.745282,100.0000000000,1,1,1,100.0455991844,0.0100000000,0.396270,7
0.749105,100.0000000000,1,1,1,100.0551223735,0.0100000000,0.398217,8
0.757386,99.9900000000,1,-1,1,100.0223073316,0.0100000000,0.034603,2
0.771032,99.9900000000,1,-1,1,100.0034508502,0.0100000000,0.047516,3
0.794469,99.9900000000,1,-1,1,99.9708487451,0.0100000000,0.068987,4
0.798596,99.9900000000,1,-1,1,99.9629471549,0.0100000000,0.072465,5
0.804126,99.9900000000,1,-1,1,99.9493121873,0.0100000000,0.076829,6
0.813388,99.9900000000,1,-1,1,99.9400452520,0.0100000000,0.086042,7
0.814911,99.9900000000,1,-1,1,99.9439130786,0.0100000000,0.085573,8
0.818585,99.9900000000,1,-1,1,99.9398416439,0.0100000000,0.085479,9
0.821954,99.9900000000,1,-1,1,99.9404776006,0.0100000000,0.086468,9
0.832692,99.9800000000,1,-1,1,99.9673719092,0.0200000000,0.471993,7
0.844738,99.9800000000,1,-1,1,99.9819297707,0.0100000000,0.482352,8
0.870395,99.9800000000,1,-1,1,99.9836884471,0.0100000000,0.507432,9
0.877416,99.9900000000,1,1,1,100.0015016640,0.0100000000,0.034724,0
0.899978,99.9900000000,1,1,0,99.9908250609,0.0100000000,0.052761,1
0.914927,100.0000000000,1,1,1,100.0197667169,0.0200000000,0.563964,9
0.930388,100.0000000000,1,1,1,100.0080585689,0.0200000000,0.575749,10
0.945779,99.9800000000,1,-1,1,99.9332390227,0.0200000000,0.360086,7
0.945895,99.9800000000,1,-1,1,99.9330801338,0.0200000000,0.357522,8
0.953027,99.9800000000,1,-1,1,99.9161707246,0.0200000000,0.364414,9
0.955779,99.9900000000,1,-1,1,99.9131087302,0.0100000000,0.000852,0
0.956070,99.9800000000,1,-1,1,99.9146587771,0.0100000000,0.363893,10
0.956518,99.9800000000,1,-1,1,99.9132498606,0.0100000000,0.350758,11
0.957800,99.9800000000,1,-1,1,99.9059918144,0.0100000000,0.351197,12
0.965522,99.9900000000,1,1,1,99.8938198566,0.0100000000,0.009627,0
0.966502,99.9900000000,1,1,1,99.9054432559,0.0100000000,0.005401,1
0.966557,99.9900000000,1,1,1,99.9075428379,0.0100000000,0.003530,2
0.969969,99.9900000000,1,-1,1,99.9371816729,0.0100000000,0.003370,0
0.971890,99.9900000000,1,-1,1,99.9385398475,0.0100000000,0.003977,1
0.983114,99.9900000000,1,-1,1,99.9545279291,0.0100000000,0.012726,1
1.000960,99.9800000000,1,-1,1,99.9254953368,0.0200000000,0.390114,13
1.028583,99.9800000000,1,-1,0,99.9910112148,0.0200000000,0.392074,15
1.034744,99.9900000000,1,1,0,100.0183562559,0.0100000000,0.004152,0
1.036443,100.0000000000,1,1,1,100.0237556617,0.0200000000,0.679737,11
1.061347,100.0000000000,1,1,1,100.0216998178,0.0100000000,0.704287,12
1.063865,100.0000000000,1,1,1,100.0255259103,0.0100000000,0.686193,12
1.064592,99.9900000000,1,-1,0,100.0157681360,0.0100000000,0.019679,0
1.064877,99.9700000000,1,-1,1,100.0163451114,0.0300000000,0.954774,2
